iteration,n_unique_compounds,best_reward,best_e_form,best_e_form_e_hull,best_e_form_formula,best_e_hull,best_e_hull_e_form,best_e_hull_formula,best_rdos,best_rdos_eform,best_rdos_ehull,best_rdos_formula
0,1,-10.0,0.0654264226191226,0.1672014608087741,Cr6NdSn6,0.1672014608087741,0.0654264226191226,Cr6NdSn6,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
1,2,0.8808664915862741,-0.0773012636426867,0.0407604814882068,Mo6NdSn6,0.0407604814882068,-0.0773012636426867,Mo6NdSn6,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
2,3,1.3722522426169037,-0.1493282743395044,0.0291308217787836,PmSn6V6,0.0291308217787836,-0.1493282743395044,PmSn6V6,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
3,4,1.4029103080630134,-0.1493282743395044,0.0291308217787836,PmSn6V6,0.0291308217787836,-0.1493282743395044,PmSn6V6,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
4,5,1.4029103080630134,-0.1493282743395044,0.0291308217787836,PmSn6V6,0.0291308217787836,-0.1493282743395044,PmSn6V6,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
5,6,1.4516973659482757,-0.1493282743395044,0.0291308217787836,PmSn6V6,0.0291308217787836,-0.1493282743395044,PmSn6V6,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
6,7,1.497175332943125,-0.1493282743395044,0.0291308217787836,PmSn6V6,0.0144061979474397,-0.061062214544702,Sn6UV6,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
7,8,1.497175332943125,-0.3664667224509591,-0.0094086056468497,Ge6PmV6,-0.0094086056468497,-0.3664667224509591,Ge6PmV6,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
8,9,2.5803680748461497,-0.3664667224509591,-0.0094086056468497,Ge6PmV6,-0.0198127860900532,-0.281926409165142,Ge6Mn6Pr,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
9,10,2.5803680748461497,-0.3664667224509591,-0.0094086056468497,Ge6PmV6,-0.0198127860900532,-0.281926409165142,Ge6Mn6Pr,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
10,11,2.5803680748461497,-0.3664667224509591,-0.0094086056468497,Ge6PmV6,-0.0198127860900532,-0.281926409165142,Ge6Mn6Pr,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
11,12,2.5803680748461497,-0.3664667224509591,-0.0094086056468497,Ge6PmV6,-0.0198127860900532,-0.281926409165142,Ge6Mn6Pr,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
12,13,2.5803680748461497,-0.3664667224509591,-0.0094086056468497,Ge6PmV6,-0.0853877283753911,-0.2680102352036012,Ge6Mn6Pm,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
13,14,2.5803680748461497,-0.3664667224509591,-0.0094086056468497,Ge6PmV6,-0.0853877283753911,-0.2680102352036012,Ge6Mn6Pm,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
14,15,2.5803680748461497,-0.3664667224509591,-0.0094086056468497,Ge6PmV6,-0.0853877283753911,-0.2680102352036012,Ge6Mn6Pm,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
