formula,best_reward,visit_count,terminated,e_above_hull,e_form,dos_reward,formation_energy
PrRu6Si6,2.241678797751889,1,False,0.1732249829212256,-0.5721525694758,556.0838388310332,-0.5721525694758
PmRu6Si6,1.0423004733263124,1,False,0.0404722306075798,-0.5711286911330612,556.3405150005217,-0.5711286911330612
Ge6NdTi6,1.0095898852183445,5,False,0.1534497353650745,-0.5504259932252401,629.6999199564794,-0.5504259932252401
Ge6PrTi6,1.4901145265708644,1,False,0.1550875017429664,-0.5472934702938997,975.1058185992258,-0.5472934702938997
Ge6NdZr6,0.8896543392750222,2,False,0.2981158065407249,-0.5337759159994923,3134.9373115326407,-0.5337759159994923
Ge6PrZr6,1.497175332943125,1,False,0.2999410730106696,-0.5316354075351069,3079.609286036574,-0.5316354075351069
Ge6PmTi6,1.3722522426169037,2,False,0.1140090470893275,-0.520672595926116,446.10919083753106,-0.520672595926116
NdSi6Tc6,2.320152073206984,3,False,-0.0117761169522671,-0.5132830540929398,110.0627618364653,-0.5132830540929398
Ge6PmZr6,0.18472303403349222,1,False,0.26305244891096,-0.5100262390630224,2980.9603401680597,-0.5100262390630224
PrSi6Tc6,1.5297149677573045,1,False,-0.0081471422520955,-0.5096405409483581,43.337945720751264,-0.5096405409483581
PmSi6Tc6,1.0423004733263124,2,False,-0.0309609785935064,-0.4989893904609849,106.43504975353795,-0.4989893904609849
NdSi6Ti6,1.0110945922006864,2,False,0.2924371422853024,-0.491048837815979,1581.547303255522,-0.491048837815979
Ge6Ti6U,1.4516973659482757,3,False,0.1170617470819687,-0.4907100742509468,1617.2913901177185,-0.4907100742509468
Co6Si6U,1.0770627731449358,1,False,0.0840590026565123,-0.4881197696333911,980.6852185498553,-0.4881197696333911
PrSi6Ti6,-0.441468362627374,1,False,0.2980264901085547,-0.4854459515483164,1405.3585622189044,-0.4854459515483164
PrSn6Zr6,1.975350737539011,2,False,0.1265654238391979,-0.4741396862122444,2812.554261786426,-0.4741396862122444
NdSn6Zr6,1.2007845268693178,3,False,0.1281447570726638,-0.4719119171400675,2109.625486607246,-0.4719119171400675
SmSn6Zr6,0.8067149979693974,1,False,0.1341222429563077,-0.4633695528634831,1503.945677344245,-0.4633695528634831
PmSi6Ti6,-0.3619629519780031,1,False,0.268911639936721,-0.4595336490141433,1605.4074083763512,-0.4595336490141433
