formula,best_reward,visit_count,terminated,e_above_hull,e_form,dos_reward,formation_energy,name,r_DOS,ehull_reward,weighted_r_DOS,composite_score
EuNb6Pb6,5.240397441884896,38,False,0.3416879757623532,0.2429628704100996,13185.712181008725,0.2429628704100996,EuNb6Pb6,13185.712181008725,-1.0,5.240397441884896,4.240397441884896
ErFe6Ge6,5.159215747810979,1,False,-0.0058567401646467,-0.2768594759971847,7949.120226648127,-0.2768594759971847,ErFe6Ge6,7949.120226648127,0.9999969866916573,3.159218761119322,4.159215747810979
Fe6GdGe6,3.2128730383564155,2,False,-0.0436660498027494,-0.2656852232415441,5567.956878274395,-0.2656852232415441,Fe6GdGe6,5567.956878274395,0.9999999996547335,2.212873038701682,3.2128730383564155
EuGe6Ta6,2.9226502839338897,2,False,0.1688758029718564,-0.2090681116429406,9870.041004387958,-0.2090681116429406,EuGe6Ta6,9870.041004387958,-0.9999999999991862,3.922650283933076,2.9226502839338897
ErFe6Sn6,2.729187300208218,4,False,-0.0030520909986452,-0.108430026425672,4350.937918281073,-0.108430026425672,ErFe6Sn6,4350.937918281073,0.9999940929122392,1.7291932072959788,2.729187300208218
Pb6PrZr6,2.661751508014246,1,False,-0.0953436428757639,-0.2934358112857379,4181.2433778213335,-0.2934358112857379,Pb6PrZr6,4181.2433778213335,0.9999999999999986,1.6617515080142475,2.661751508014246
NdPb6Zr6,2.643898087947566,3,False,-0.0966067941955979,-0.2923019822515202,4136.321201391675,-0.2923019822515202,NdPb6Zr6,4136.321201391675,0.999999999999999,1.6438980879475678,2.6438980879475666
CeFe6Sn6,3.5803680748461497,15,False,0.0310269446560641,-0.1052155283466268,4028.907076021499,-0.1052155283466268,CeFe6Sn6,4028.907076021499,0.9791595815207749,1.601208493325375,2.5803680748461497
CePb6Zr6,2.5040593425514417,4,False,-0.0737870809351096,-0.2551668971422731,3784.463643068739,-0.2551668971422731,CePb6Zr6,3784.463643068739,0.9999999999997496,1.504059342551692,2.5040593425514417
Pb6TbZr6,2.4786872383236367,1,False,-0.1111887434625796,-0.2905349022914254,3720.6232058714113,-0.2905349022914254,Pb6TbZr6,3720.6232058714113,1.0,1.4786872383236367,2.4786872383236367
Nb6Pb6Tb,2.4754257286230987,8,False,0.3042737619477703,0.213884658893232,8744.74958670573,0.213884658893232,Nb6Pb6Tb,8744.74958670573,-1.0,3.4754257286230987,2.4754257286230987
Fe6Ge6Nd,3.4613565647777778,8,False,-0.0210501252944219,-0.2426200075752514,3677.0165444675135,-0.2426200075752514,Fe6Ge6Nd,3677.0165444675144,0.999999921399119,1.461356643378659,2.4613565647777778
EuPb6Zr6,2.425316594085852,3,False,-0.0992795721201533,-0.2860142955821214,3586.3337819033472,-0.2860142955821214,EuPb6Zr6,3586.3337819033472,0.9999999999999994,1.425316594085852,2.4253165940858517
Fe6Sn6Tb,2.395405220886821,3,False,0.0056362598400941,-0.1118686452213276,3511.191378884797,-0.1118686452213276,Fe6Sn6Tb,3511.191378884797,0.9999524711765988,1.395452749710222,2.395405220886821
Fe6LuSn6,2.392764069310454,10,False,-0.0069440572560171,-0.0986309342868769,3504.4320520092388,-0.0986309342868769,Fe6LuSn6,3504.4320520092388,0.9999976788033816,1.3927663905070722,2.392764069310454
