iteration,n_unique_compounds,best_reward,best_e_form,best_e_form_e_hull,best_e_form_formula,best_e_hull,best_e_hull_e_form,best_e_hull_formula,best_rdos,best_rdos_eform,best_rdos_ehull,best_rdos_formula
0,1,-10.0,0.1503040851073102,0.1316615447615358,Cr6Sn6U,0.1316615447615358,0.1503040851073102,Cr6Sn6U,1347.745320034184,0.1503040851073102,0.1316615447615358,Cr6Sn6U
1,2,-0.544245889558529,0.0669184783689736,0.0645626449644413,Mo6Sn6U,0.0645626449644413,0.0669184783689736,Mo6Sn6U,1347.745320034184,0.1503040851073102,0.1316615447615358,Cr6Sn6U
2,3,1.4516973659482757,-0.061062214544702,0.0144061979474397,Sn6UV6,0.0144061979474397,-0.061062214544702,Sn6UV6,1347.745320034184,0.1503040851073102,0.1316615447615358,Cr6Sn6U
3,4,1.4516973659482757,-0.1143917584693886,0.0360911557149051,Cr6Ge6U,0.0144061979474397,-0.061062214544702,Sn6UV6,1347.745320034184,0.1503040851073102,0.1316615447615358,Cr6Sn6U
4,5,1.4516973659482757,-0.1143917584693886,0.0360911557149051,Cr6Ge6U,0.0144061979474397,-0.061062214544702,Sn6UV6,1805.165283519366,0.3827228590569251,0.432152232882678,Cr6NdPb6
5,6,1.5297149677573045,-0.2893725924811401,-0.0003092949398185,Ge6Mn6Nd,-0.0003092949398185,-0.2893725924811401,Ge6Mn6Nd,1805.165283519366,0.3827228590569251,0.432152232882678,Cr6NdPb6
6,7,1.5297149677573045,-0.2893725924811401,-0.0003092949398185,Ge6Mn6Nd,-0.0003092949398185,-0.2893725924811401,Ge6Mn6Nd,1805.165283519366,0.3827228590569251,0.432152232882678,Cr6NdPb6
7,8,1.5297149677573045,-0.2893725924811401,-0.0003092949398185,Ge6Mn6Nd,-0.0003092949398185,-0.2893725924811401,Ge6Mn6Nd,1805.165283519366,0.3827228590569251,0.432152232882678,Cr6NdPb6
8,9,1.5297149677573045,-0.2893725924811401,-0.0003092949398185,Ge6Mn6Nd,-0.0003092949398185,-0.2893725924811401,Ge6Mn6Nd,1805.165283519366,0.3827228590569251,0.432152232882678,Cr6NdPb6
9,10,1.5297149677573045,-0.2893725924811401,-0.0003092949398185,Ge6Mn6Nd,-0.0003092949398185,-0.2893725924811401,Ge6Mn6Nd,1805.165283519366,0.3827228590569251,0.432152232882678,Cr6NdPb6
10,11,1.6613740577989269,-0.2893725924811401,-0.0003092949398185,Ge6Mn6Nd,-0.0003092949398185,-0.2893725924811401,Ge6Mn6Nd,1805.165283519366,0.3827228590569251,0.432152232882678,Cr6NdPb6
11,12,1.6613740577989269,-0.2893725924811401,-0.0003092949398185,Ge6Mn6Nd,-0.0003092949398185,-0.2893725924811401,Ge6Mn6Nd,1805.165283519366,0.3827228590569251,0.432152232882678,Cr6NdPb6
12,13,1.6613740577989269,-0.2893725924811401,-0.0003092949398185,Ge6Mn6Nd,-0.0003092949398185,-0.2893725924811401,Ge6Mn6Nd,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
13,14,1.6613740577989269,-0.2893725924811401,-0.0003092949398185,Ge6Mn6Nd,-0.0003092949398185,-0.2893725924811401,Ge6Mn6Nd,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
14,15,1.6613740577989269,-0.2893725924811401,-0.0003092949398185,Ge6Mn6Nd,-0.0003092949398185,-0.2893725924811401,Ge6Mn6Nd,1837.1106647476406,0.0654264226191226,0.1672014608087741,Cr6NdSn6
15,16,2.1373215640467085,-0.2893725924811401,-0.0003092949398185,Ge6Mn6Nd,-0.0003092949398185,-0.2893725924811401,Ge6Mn6Nd,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
16,17,2.1373215640467085,-0.3121273928879272,0.0190936983347084,Ge6UV6,-0.0003092949398185,-0.2893725924811401,Ge6Mn6Nd,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
17,18,2.1373215640467085,-0.3121273928879272,0.0190936983347084,Ge6UV6,-0.0003092949398185,-0.2893725924811401,Ge6Mn6Nd,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
18,19,2.1373215640467085,-0.3121273928879272,0.0190936983347084,Ge6UV6,-0.0003092949398185,-0.2893725924811401,Ge6Mn6Nd,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
19,20,2.1373215640467085,-0.3121273928879272,0.0190936983347084,Ge6UV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
20,21,2.1373215640467085,-0.3121273928879272,0.0190936983347084,Ge6UV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
21,22,2.238277081333414,-0.3121273928879272,0.0190936983347084,Ge6UV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
22,23,2.238277081333414,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
23,24,2.238277081333414,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
24,24,2.238277081333414,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
25,25,2.238277081333414,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
26,26,2.238277081333414,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
27,26,2.238277081333414,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
28,27,2.238277081333414,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
29,28,2.238277081333414,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,2516.1664410449775,0.4512291363429564,0.4357822943947088,Mn6Pb6U
30,29,2.238277081333414,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
31,30,2.238277081333414,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
32,31,2.4613565647777778,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
33,32,2.4613565647777778,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
34,32,2.4613565647777778,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.0361884499619526,-0.1943098661697659,Ge6Mn6U,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
35,33,2.4613565647777778,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.1465731066246223,-0.2494251867017108,Ge6PmTc6,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
36,34,2.4613565647777778,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.1465731066246223,-0.2494251867017108,Ge6PmTc6,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
37,35,2.4613565647777778,-0.3984480245473361,0.0084205641648333,Ge6NdV6,-0.1465731066246223,-0.2494251867017108,Ge6PmTc6,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
38,36,2.4613565647777778,-0.4057533334665034,0.0970661297630253,Fe6Si6U,-0.1465731066246223,-0.2494251867017108,Ge6PmTc6,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
39,37,2.4613565647777778,-0.4057533334665034,0.0970661297630253,Fe6Si6U,-0.1465731066246223,-0.2494251867017108,Ge6PmTc6,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
40,38,2.4613565647777778,-0.4057533334665034,0.0970661297630253,Fe6Si6U,-0.1465731066246223,-0.2494251867017108,Ge6PmTc6,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
41,39,2.4613565647777778,-0.4057533334665034,0.0970661297630253,Fe6Si6U,-0.1465731066246223,-0.2494251867017108,Ge6PmTc6,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
42,40,2.4613565647777778,-0.4057533334665034,0.0970661297630253,Fe6Si6U,-0.1465731066246223,-0.2494251867017108,Ge6PmTc6,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
43,40,2.4613565647777778,-0.4057533334665034,0.0970661297630253,Fe6Si6U,-0.1465731066246223,-0.2494251867017108,Ge6PmTc6,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
44,41,2.4613565647777778,-0.4057533334665034,0.0970661297630253,Fe6Si6U,-0.1465731066246223,-0.2494251867017108,Ge6PmTc6,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
45,42,2.4613565647777778,-0.4057533334665034,0.0970661297630253,Fe6Si6U,-0.1465731066246223,-0.2494251867017108,Ge6PmTc6,3409.245550895353,-0.0927217807638899,0.0412375794664178,Fe6NdSn6
