formula,best_reward,visit_count,terminated,e_above_hull,e_form,dos_reward,formation_energy
Ge6TbTi6,-0.045560663789181,2,False,0.1470124379123185,-0.5623332446405436,1406.109962403568,-0.5623332446405436
GdGe6Ti6,1.6074019044591248,5,False,0.147566831359542,-0.5542686858463012,1229.63502105475,-0.5542686858463012
Ge6SmTi6,-0.34600144570038516,4,False,0.1586407634014855,-0.549158910086279,440.92114730709994,-0.549158910086279
Si6TbTc6,1.5512663717001764,2,False,-0.0299296120985074,-0.5430637119355419,299.96558072622946,-0.5430637119355419
GdSi6Tc6,2.4742876194931656,2,False,-0.029746723813614,-0.5420820026958812,855.520902249546,-0.5420820026958812
Ge6TbZr6,1.2508572462620344,1,False,0.3089813171256055,-0.531021976850351,2072.857260108035,-0.531021976850351
GdGe6Zr6,1.4358554822705503,1,False,0.3074140154948309,-0.5295127478691265,6129.017819724588,-0.5295127478691265
Ge6SmZr6,1.0035572273296913,1,False,0.3122309251832956,-0.5256636242591111,2723.4344531734023,-0.5256636242591111
Si6SmTc6,1.0426498902980876,2,False,-0.0139908112515537,-0.520918657085673,107.31529905772831,-0.520918657085673
Ge6PmTi6,1.3722522426169037,2,False,0.1140090470893275,-0.520672595926116,446.10919083753106,-0.520672595926116
EuGe6Zr6,1.4500380702056748,1,False,0.2998155087881282,-0.5158249045990201,2904.3305757802127,-0.5158249045990201
Ge6PmZr6,0.18472303403349222,1,False,0.26305244891096,-0.5100262390630224,2980.9603401680597,-0.5100262390630224
Si6TbTi6,-0.4975936509654857,1,False,0.2886283766632119,-0.5064847661344312,1264.1379952085747,-0.5064847661344312
PmSi6Tc6,1.043741514296713,1,False,-0.0309609785935064,-0.4989893904609849,106.43504975353795,-0.4989893904609849
GdSi6Ti6,-0.34685272918169796,2,False,0.2961103876929593,-0.4982039341499164,1643.427243893127,-0.4982039341499164
EuGe6Ti6,1.430421899728664,5,False,0.1894366257164261,-0.4953793194994828,579.324880481566,-0.4953793194994828
Si6SmTi6,-0.34600144570038516,1,False,0.2973999151509117,-0.4915069736438161,1645.5692148206224,-0.4915069736438161
Si6TbZr6,-0.42146499784642677,1,False,0.4127054365888332,-0.4854552088624342,1135.57240125218,-0.4854552088624342
Fe6Si6Tb,-0.709854620073705,1,False,0.0795685950309412,-0.4850187964609347,725.8905996826848,-0.4850187964609347
Fe6GdSi6,2.168926986715833,2,False,0.0838693539402523,-0.4759899477177761,607.9751360353291,-0.4759899477177761
NdSn6Zr6,1.039468758860386,1,False,0.1281447570726638,-0.4719119171400675,2109.625486607246,-0.4719119171400675
Mn6Si6Tb,1.5512663717001764,2,False,0.0613863804572688,-0.4689432982598643,0.1414572169641794,-0.4689432982598643
