rank,name,e_above_hull,r_DOS,reward
1,Cu6Sn6Eu,0.0381690928780467,16389.303805319214,14578.911343618802
2,Cu6Pb6Yb,0.0052941502856902,12845.237070984353,12844.67467567372
3,Ni6Pb6Yb,0.0168150593905894,9899.245242567047,9892.365180559515
4,Cu6Sn6Tb,0.032655333357056,9069.361347077169,8791.356362237317
5,Cu6Sn6Yb,-0.1188425439522279,8778.726311397206,8778.726311397206
6,Ta6Ge6Yb,-0.1817261863003326,8467.355114456475,8467.355114456475
7,Cu6Sn6Dy,0.0366415204949092,8890.8498612915,8198.443942264503
8,Zn6Pb6Yb,0.0012487055082404,8182.507780912097,8182.372095718769
9,Ni6Sn6Gd,0.028400731753681,8239.385228872403,8147.51169977456
10,Cu6Sn6Gd,0.0206928374126901,8073.824320084616,8059.600337652693
11,Fe6Ge6Er,-0.0058567401646467,7949.120226648127,7949.09627349783
12,Zn6Ge6Yb,-0.0091810804252634,7550.52631751214,7550.51607225347
13,Ni6Sn6Yb,-0.3090507815706659,7543.393519780435,7543.393519780435
14,Os6Ge6Tb,-0.0260194581761459,6855.091604701143,6855.09144121394
15,Fe6Sn6Ho,-0.0015305281495666,6848.593002868405,6848.534716400361
16,Hf6Ge6Yb,-0.4083276383892546,6658.726216124038,6658.726216124038
17,Ni6Ge6Yb,-0.4057676144359989,6578.112347677,6578.112347677
18,Cu6Sn6Tm,0.0377709547311553,7275.828523463107,6541.673321758403
19,Os6Ge6Eu,0.0101207811763305,6497.933250812862,6497.027232365242
20,Hf6Pb6Yb,-0.0973219287343213,6459.721806318329,6459.721806318324
21,Zn6Sn6Yb,-0.0568299978917826,6019.331631563245,6019.331631475015
22,Ni6Ge6Tb,0.031205830425672,6048.210568268625,5916.694066546445
23,Ni6Sn6Lu,0.0327159711346455,6034.226633982497,5846.588871638154
24,Hf6Pb6Ho,-0.0182858211685274,5819.078374499444,5819.077486511865
25,Co6Sn6Ho,-0.0022701350610268,5793.942200875361,5793.90091028308
26,Rh6Ge6Yb,-0.5793080460241199,5790.258301875066,5790.258301875066
27,Cu6Ge6Yb,-0.1020839749072986,5710.443765049512,5710.443765049511
28,Ni6Ge6Dy,0.0248350478293005,5705.494061287644,5678.371556607763
29,Fe6Ge6Gd,-0.0436660498027494,5567.956878274395,5567.9568763519665
30,Hf6Pb6Tm,-0.0223555871877592,5275.130999046431,5275.130695942553
31,Cu6Sn6Nd,0.0299322895391003,5319.098368563519,5233.651798110653
32,Cu6Sn6Pm,0.0321861952293088,5136.666838894132,4995.748320392247
33,Co6Ge6Gd,0.0237941876914011,4897.09785325409,4878.954648483462
34,Ni6Ge6Tm,0.0175649971468297,4882.272538789214,4878.210453416573
35,Co6Sn6Er,-0.0012703668940937,4868.409133386771,4868.36503018548
36,Hf6Pb6Er,-0.0205501936145742,4743.855574209014,4743.855153804774
37,Fe6Ge6Ho,-0.0081987733303153,4721.921158213005,4721.913047652145
38,Os6Ge6Ce,-0.0257323154987974,4705.661390740857,4705.661270508807
39,Cu6Sn6Sm,0.0321842604156072,4700.892575699461,4571.988070640067
40,Ni6Ge6Lu,0.0132245676616675,4523.74184873976,4522.413427294788
41,Ag6Pb6Er,0.0282281291526843,4552.27249008795,4503.560977137706
42,Os6Ge6Sm,-0.0163434642842005,4375.932079362094,4375.931015031839
43,Fe6Sn6Er,-0.0030520909986452,4350.937918281073,4350.912216908948
44,Re6Ge6Ce,0.0031503315651159,4334.499938172835,4334.386491773062
45,Hf6Sn6Yb,-0.3244691907176885,4290.061405570176,4290.061405570176
46,Fe6Sn6Dy,0.0044841641692586,4284.250040794321,4284.095604043567
47,Ta6Sn6Yb,-0.0551512885505987,4277.533205047314,4277.533204953507
48,Ni6Ge6Ce,0.0405363041055414,5173.170416096789,4205.487087563278
49,Zr6Pb6Pr,-0.0953436428757639,4181.2433778213335,4181.243377821327
50,Zr6Pb6Nd,-0.0966067941955979,4136.321201391675,4136.32120139167
51,Fe6Sn6Ce,0.0310269446560641,4028.907076021499,3944.9429665433
52,Zr6Pb6Ce,-0.0737870809351096,3784.463643068739,3784.463643067792
53,Ag6Pb6Lu,0.0403325247776479,4574.887295080317,3756.309569952831
54,Zr6Pb6Tb,-0.1111887434625796,3720.6232058714113,3720.6232058714113
55,Fe6Ge6Nd,-0.0210501252944219,3677.0165444675144,3677.0162554507747
56,Ni6Ge6Pm,-0.0408062265401738,3612.4207916197524,3612.420789142136
57,Zr6Pb6Eu,-0.0992795721201533,3586.3337819033472,3586.3337819033454
58,Ag6Sn6Yb,-0.1238743117877972,3560.4867540730556,3560.4867540730556
59,Ni6Sn6Tb,0.0396663886734248,4194.794837511627,3546.5526772995286
60,Fe6Sn6Tb,0.0056362598400941,3511.1913788847964,3511.0244960898217
61,Fe6Sn6Lu,-0.0069440572560171,3504.4320520092388,3504.4239175334105
62,Fe6Sn6Tm,-0.0002096420016182,3484.531047880396,3484.4903298383565
63,Fe6Sn6Sm,0.0235217236450588,3456.8215228900744,3444.823657271054
64,Os6Ge6Nd,-0.0128752620460232,3398.9571572120403,3398.955256814238
65,Ag6Pb6Yb,-0.0971771087609334,3371.6972062855616,3371.6972062855584
66,Ni6Sn6Tm,0.03439559938156,3513.7078446484225,3351.454524073497
67,Re6Ge6Nd,0.0338599604186403,3467.3098947861704,3326.120556468497
68,Re6Si6Pm,-0.0012806870958264,3321.7450813899845,3321.7150639486977
69,Hf6Pb6Eu,-0.0109621079706846,3261.5905795592066,3261.5876932852925
70,Pd6Pb6Yb,-0.3426406351406858,3252.3470225816463,3252.3470225816463
71,Re6Ge6Tb,0.0132519033861033,3228.10754108566,3227.1533510874397
72,Cu6Ge6Pm,0.0047813349589761,3201.839359983197,3201.715409244639
73,Zr6Pb6Pm,-0.15855792985461,3197.9973431580497,3197.9973431580497
74,Fe6Ge6Pm,-0.0279431203913569,3197.6696372802544,3197.669589218515
75,Fe6Sn6Pm,0.036778611099601,3464.2295019006756,3185.7790632015403
76,Zr6Pb6Sm,-0.1015666064224046,3166.596327417325,3166.596327417324
77,Fe6Ge6Ce,-0.0304306733335876,3150.42889864091,3150.4288725759984
78,Os6Ge6Pr,-0.0069036525656745,3124.276418889065,3124.269096163078
79,Fe6Ge6Pr,0.0018294850562471,3115.75920126417,3115.6998070113636
80,Fe6Ge6Yb,-0.2419789065998805,3059.1219357363884,3059.1219357363884
81,Ta6Sn6Lu,0.0406175450803871,3764.2325823062506,3047.5584923919496
82,Fe6Sn6Gd,0.014251216036046,3008.485947992227,3007.355692856648
83,Ni6Sn6Dy,0.038194800826707,3377.7880171720294,3002.490451090428
84,Ag6Pb6Ho,0.0294886509344543,3038.207866263299,2994.295604290994
85,Ag6Pb6Tm,0.0265217476290482,2963.9551370386157,2942.8591810339517
86,Fe6Ge6Tb,-0.0085832112744839,2941.218796959865,2941.214190266608
87,Ni6Ge6Sm,0.0384699614908115,3300.217175317814,2909.9858792440705
88,Ni6Sn6Ce,0.040407915198824,3525.556594219695,2884.263772172678
89,Hf6Pb6Ce,0.0129731558847668,2864.0507475760055,2863.2589435827736
90,Re6Ge6Pr,0.0413476694487686,3634.4916206532025,2824.755287535459
91,Zr6Pb6Lu,-0.1246772811220245,2805.659801319574,2805.659801319574
92,Zr6Pb6Dy,-0.1063823097593798,2801.4870440637023,2801.487044063702
93,Fe6Sn6Nd,0.0412375794664178,3409.245550895353,2667.343069880889
94,Os6Ge6Pm,-0.0256111470832991,2661.144455298264,2661.144385298352
95,Ti6Pb6Lu,-0.0270844180927412,2655.929239612309,2655.929190557057
96,Ni6Ge6Gd,0.0007794802287195,2647.7913036844475,2647.752073305986
97,Mn6Ge6Ho,-0.0008175366498258,2629.6964450713544,2629.669887568201
98,Re6Ge6Pm,0.0420786448454899,3545.6275582434873,2623.8979020278084
99,Ti6Pb6Gd,-0.0011758219941403,2620.6350634820037,2620.6107781510045
100,Fe6Ge6Dy,-0.0090166204556834,2618.7069282693915,2618.7032319085456
101,Hf6Si6Yb,-0.3704257395717893,2614.6847860363005,2614.6847860363005
102,Ta6Sn6Er,0.0457212818657861,5491.569149608103,2595.4580321748135
103,Hf6Pb6Tb,-0.0175840871483405,2559.4391484773314,2559.4386862669476
104,Fe6Ge6Sm,-0.0308068625645231,2506.3531068028956,2506.353087856859
105,Ag6Pb6Pr,0.0092029481001544,2496.506370943187,2496.2270946330996
106,Ag6Pb6Nd,0.0123328646781082,2480.1806252245233,2479.592606906171
107,Ag6Pb6Ce,0.0192429200754531,2479.4840092732475,2476.398763236012
108,Ti6Sn6Tb,0.0104562710901622,2467.6746505203905,2467.3017306743805
109,Hf6Pb6Nd,-0.005357525022287,2454.1533410969496,2454.145004693642
