iteration,n_unique_compounds,best_reward,best_e_form,best_e_form_e_hull,best_e_form_formula,best_e_hull,best_e_hull_e_form,best_e_hull_formula,best_rdos,best_rdos_eform,best_rdos_ehull,best_rdos_formula
0,1,-10.0,0.067035947592653,0.1710940985546878,CeCr6Sn6,0.1710940985546878,0.067035947592653,CeCr6Sn6,1931.2703891785739,0.067035947592653,0.1710940985546878,CeCr6Sn6
1,2,1.4029103080630134,0.067035947592653,0.1710940985546878,CeCr6Sn6,0.1710940985546878,0.067035947592653,CeCr6Sn6,1931.2703891785739,0.067035947592653,0.1710940985546878,CeCr6Sn6
2,3,1.7117959598902368,0.067035947592653,0.1710940985546878,CeCr6Sn6,0.1710940985546878,0.067035947592653,CeCr6Sn6,1931.2703891785739,0.067035947592653,0.1710940985546878,CeCr6Sn6
3,4,1.7117959598902368,0.067035947592653,0.1710940985546878,CeCr6Sn6,0.1710940985546878,0.067035947592653,CeCr6Sn6,1931.2703891785739,0.067035947592653,0.1710940985546878,CeCr6Sn6
4,5,1.7117959598902368,-0.1173532689925287,0.0246853810128282,CeMn6Sn6,0.0246853810128282,-0.1173532689925287,CeMn6Sn6,1931.2703891785739,0.067035947592653,0.1710940985546878,CeCr6Sn6
5,6,1.7117959598902368,-0.1700188779548006,0.0263425648469378,PrSn6V6,0.0246853810128282,-0.1173532689925287,CeMn6Sn6,1931.2703891785739,0.067035947592653,0.1710940985546878,CeCr6Sn6
6,7,1.7117959598902368,-0.1700188779548006,0.0263425648469378,PrSn6V6,0.0246853810128282,-0.1173532689925287,CeMn6Sn6,2389.071108428345,0.3861561019773555,0.4212701039543496,CeCr6Pb6
7,8,1.7117959598902368,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,2389.071108428345,0.3861561019773555,0.4212701039543496,CeCr6Pb6
8,9,1.7117959598902368,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,2389.071108428345,0.3861561019773555,0.4212701039543496,CeCr6Pb6
9,10,1.7117959598902368,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,2389.071108428345,0.3861561019773555,0.4212701039543496,CeCr6Pb6
10,11,1.7227965026846306,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,2389.071108428345,0.3861561019773555,0.4212701039543496,CeCr6Pb6
11,12,1.7227965026846306,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,2389.071108428345,0.3861561019773555,0.4212701039543496,CeCr6Pb6
12,13,1.7227965026846306,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,2389.071108428345,0.3861561019773555,0.4212701039543496,CeCr6Pb6
13,14,1.7227965026846306,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,2389.071108428345,0.3861561019773555,0.4212701039543496,CeCr6Pb6
14,15,1.7227965026846306,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,2389.071108428345,0.3861561019773555,0.4212701039543496,CeCr6Pb6
15,16,1.7227965026846306,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,2389.071108428345,0.3861561019773555,0.4212701039543496,CeCr6Pb6
16,17,1.7227965026846306,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,2389.071108428345,0.3861561019773555,0.4212701039543496,CeCr6Pb6
17,18,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
18,19,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
19,20,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
20,21,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
21,22,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
22,23,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
23,24,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
24,25,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
25,26,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
26,27,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
27,28,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
28,29,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
29,30,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
30,31,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
31,32,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.0522907564360619,-0.3108652168140224,CeGe6Mn6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
32,33,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.0522907564360619,-0.3108652168140224,CeGe6Mn6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
33,34,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.0522907564360619,-0.3108652168140224,CeGe6Mn6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
34,35,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.0522907564360619,-0.3108652168140224,CeGe6Mn6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
35,36,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.0522907564360619,-0.3108652168140224,CeGe6Mn6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
36,36,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.0522907564360619,-0.3108652168140224,CeGe6Mn6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
37,37,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.0522907564360619,-0.3108652168140224,CeGe6Mn6,3410.5289854507782,0.2327442317892875,10.0,Mn6Pb6Yb
38,38,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.0522907564360619,-0.3108652168140224,CeGe6Mn6,3410.5289854507782,0.2327442317892875,10.0,Mn6Pb6Yb
39,39,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.0522907564360619,-0.3108652168140224,CeGe6Mn6,3410.5289854507782,0.2327442317892875,10.0,Mn6Pb6Yb
40,40,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.0522907564360619,-0.3108652168140224,CeGe6Mn6,3410.5289854507782,0.2327442317892875,10.0,Mn6Pb6Yb
41,41,2.5803680748461497,-0.5319205715435155,-0.0424368607232508,CeSi6Tc6,-0.0522907564360619,-0.3108652168140224,CeGe6Mn6,3410.5289854507782,0.2327442317892875,10.0,Mn6Pb6Yb
42,42,2.5803680748461497,-0.5319205715435155,-0.0424368607232508,CeSi6Tc6,-0.0522907564360619,-0.3108652168140224,CeGe6Mn6,3410.5289854507782,0.2327442317892875,10.0,Mn6Pb6Yb
43,43,2.5803680748461497,-0.5319205715435155,-0.0424368607232508,CeSi6Tc6,-0.0522907564360619,-0.3108652168140224,CeGe6Mn6,3410.5289854507782,0.2327442317892875,10.0,Mn6Pb6Yb
44,44,2.5803680748461497,-0.5319205715435155,-0.0424368607232508,CeSi6Tc6,-0.1648590889528355,-0.2680362132121318,Ge6LuTc6,3410.5289854507782,0.2327442317892875,10.0,Mn6Pb6Yb
45,45,2.5803680748461497,-0.5319205715435155,-0.0424368607232508,CeSi6Tc6,-0.1648590889528355,-0.2680362132121318,Ge6LuTc6,3410.5289854507782,0.2327442317892875,10.0,Mn6Pb6Yb
46,46,2.5803680748461497,-0.5319205715435155,-0.0424368607232508,CeSi6Tc6,-0.1648590889528355,-0.2680362132121318,Ge6LuTc6,3410.5289854507782,0.2327442317892875,10.0,Mn6Pb6Yb
