formula,best_reward,visit_count,terminated,e_above_hull,e_form,formation_energy
Rh6Si6U,1.700727550472528,35,False,0.108979234730987,-0.700727550472528,-0.700727550472528
Ir6Si6U,0.5979751019610153,15,False,0.1404982588050544,-0.5979751019610153,-0.5979751019610153
Ru6Si6U,1.509875531590633,21,False,0.1456337068507806,-0.509875531590633,-0.509875531590633
Pd6Si6U,0.6306547954252752,7,False,0.077774139719698,-0.5025411025108523,-0.5025411025108523
Pt6Si6U,0.4924261819782611,5,False,0.2191141887646604,-0.4924261819782611,-0.4924261819782611
Ge6Rh6U,0.4907416089372768,10,False,0.0500984479721179,-0.4907416089372768,-0.4907416089372768
Ge6Ti6U,1.4907100742509467,23,False,0.1170617470819687,-0.4907100742509468,-0.4907100742509468
Co6Si6U,0.4881197696333911,5,False,0.0840590026565123,-0.4881197696333911,-0.4881197696333911
Ni6Si6U,0.47679001823053,1,False,0.0610589027688873,-0.47679001823053,-0.47679001823053
Ge6UZr6,1.455259842707311,27,False,0.3016286505321909,-0.4552598427073108,-0.4552598427073108
Rh6Sn6U,0.4524804713812621,3,False,0.0351649270050935,-0.4524804713812621,-0.4524804713812621
Si6Ti6U,0.4500173193341368,8,False,0.2781429966525088,-0.4500173193341368,-0.4500173193341368
Pd6Sn6U,0.4354388820346512,1,False,0.0570597064938498,-0.4354388820346512,-0.4354388820346512
Ge6Pd6U,0.4125158150525655,3,False,0.0628672303468425,-0.4125158150525655,-0.4125158150525655
Fe6Si6U,0.439307792670052,3,False,0.0970661297630253,-0.4057533334665034,-0.4057533334665034
Pt6Sn6U,0.3883225033415894,1,False,0.1657042358430494,-0.3883225033415894,-0.3883225033415894
Ge6Hf6U,0.3869959590409593,12,False,0.254642915386452,-0.3869959590409593,-0.3869959590409593
Mn6Si6U,0.3849537079581925,3,False,0.0643416660207405,-0.3849537079581925,-0.3849537079581925
Si6UV6,1.441639066825852,14,False,0.1254218651209361,-0.3800841941497223,-0.3800841941497223
Ge6Pt6U,0.3918949938311861,5,False,0.1224976955315991,-0.3756771147145595,-0.3756771147145595
Os6Si6U,0.355663039332439,8,False,0.0704999352969072,-0.355663039332439,-0.355663039332439
Sn6UZr6,1.441639066825852,21,False,0.1434585810477773,-0.3469134627000464,-0.3469134627000464
