Experimental Literature Compounds (matched to design space)
================================================================================
Rank   Compound     Best Match              E_Hull   r_Ehull     r_DOS    Product
--------------------------------------------------------------------------------
1      Fe-Ge-Yb     Fe6Ge6Er               -0.0059    1.0000    7949.1    7949.10
2      Fe-Ge-Er     Fe6Ge6Er               -0.0059    1.0000    7949.1    7949.10
3      Co-Ge-Yb     Co6Ge6Gd                0.0238    0.9963    4897.1    4878.95
4      Co-Ge-Gd     Co6Ge6Gd                0.0238    0.9963    4897.1    4878.95
5      Fe-Sn-Lu     Fe6Sn6Lu               -0.0069    1.0000    3504.4    3504.42
6      Fe-Sn-Tm     Fe6Sn6Tm               -0.0002    1.0000    3484.5    3484.49
7      Mn-Ge-Yb     Mn6Ge6Ho               -0.0008    1.0000    2629.7    2629.67
8      Mn-Ge-Ho     Mn6Ge6Ho               -0.0008    1.0000    2629.7    2629.67
9      Mn-Sn-Yb     Mn6Sn6Gd                0.0036    1.0000    2265.6    2265.52
10     Mn-Sn-Gd     Mn6Sn6Gd                0.0036    1.0000    2265.6    2265.52
11     Cr-Ge-Ho     Cr6Ge6Ho                0.0039    1.0000    2209.0    2208.97
12     Mn-Ge-Gd     Mn6Ge6Gd               -0.0397    1.0000    2067.7    2067.68
13     Fe-Ge-Tm     Fe6Ge6Tm               -0.0069    1.0000    2028.1    2028.12
14     Mn-Sn-Ho     Mn6Sn6Ho               -0.0007    1.0000    2016.8    2016.79
15     Mn-Sn-Er     Mn6Sn6Er               -0.0007    1.0000    1982.3    1982.31
16     Nb-Sn-Er     Nb6Sn6Er                0.0256    0.9942    1932.3    1921.21
17     V-Sn-Yb      V6Sn6Gd                -0.0078    1.0000    1879.5    1879.47
18     V-Sn-Gd      V6Sn6Gd                -0.0078    1.0000    1879.5    1879.47
19     Fe-Ge-Lu     Fe6Ge6Lu               -0.0016    1.0000    1854.0    1853.95
20     Mn-Ge-Sm     Mn6Ge6Sm               -0.0005    1.0000    1611.7    1611.66
21     Mn-Ge-Tm     Mn6Ge6Tm               -0.0004    1.0000    1594.0    1594.02
22     Mn-Ge-Tm     Mn6Ge6Tm               -0.0004    1.0000    1594.0    1594.02
23     Cr-Ge-Gd     Cr6Ge6Gd                0.0003    1.0000    1590.7    1590.66
24     Mn-Ge-Lu     Mn6Ge6Lu               -0.0004    1.0000    1577.6    1577.59
25     Mn-Ge-Tb     Mn6Ge6Tb               -0.0119    1.0000    1557.6    1557.57
26     Mn-Ge-Dy     Mn6Ge6Dy               -0.0003    1.0000    1556.8    1556.83
27     Nb-Sn-Lu     Nb6Sn6Lu                0.0201    0.9985    1548.8    1546.43
28     Nb-Sn-Ho     Nb6Sn6Ho                0.0243    0.9958    1529.9    1523.45
29     Co-Ge-Tb     Co6Ge6Tb                0.0227    0.9972    1379.7    1375.80
30     Co-Ge-Dy     Co6Ge6Dy                0.0195    0.9987    1341.2    1339.44
31     Cr-Ge-Er     Cr6Ge6Er               -0.0065    1.0000    1335.4    1335.35
32     Mn-Ge-Nd     Mn6Ge6Nd               -0.0003    1.0000    1332.9    1332.86
33     V-Sn-Ho      V6Sn6Ho                -0.0214    1.0000    1308.8    1308.84
34     Mn-Sn-Tb     Mn6Sn6Tb               -0.0034    1.0000    1242.3    1242.26
35     V-Sn-Tb      V6Sn6Tb                -0.0169    1.0000    1166.9    1166.86
36     V-Sn-Er      V6Sn6Er                -0.0247    1.0000    1163.1    1163.09
37     V-Sn-Tm      V6Sn6Tm                -0.0264    1.0000    1113.1    1113.08
38     Mn-Sn-Dy     Mn6Sn6Dy               -0.0052    1.0000    1021.2    1021.17
39     V-Sn-Lu      V6Sn6Lu                -0.0350    1.0000     994.5     994.49
40     Co-Ge-Er     Co6Ge6Er                0.0160    0.9994     894.6     894.07
41     Mn-Ge-Er     Mn6Ge6Er               -0.0003    1.0000     888.7     888.68
42     V-Sn-Dy      V6Sn6Dy                -0.0130    1.0000     855.4     855.39
43     Mn-Sn-Lu     Mn6Sn6Lu               -0.0007    1.0000     737.8     737.74
44     Nb-Sn-Nd     Nb6Sn6Nd                0.0264    0.9931     719.3     714.34
45     Mn-Sn-Tm     Mn6Sn6Tm               -0.0009    1.0000     693.8     693.75
46     Nb-Sn-Sm     Nb6Sn6Sm                0.0198    0.9986     687.2     686.22
47     Nb-Sn-Gd     Nb6Sn6Gd                0.0221    0.9975     671.6     669.92
48     Nb-Sn-Dy     Nb6Sn6Dy                0.0239    0.9962     640.7     638.29
49     Nb-Sn-Tb     Nb6Sn6Tb               -0.0054    1.0000     546.0     546.02
50     Cr-Ge-Tb     Cr6Ge6Tb                0.0143    0.9996     489.8     489.60
51     Cr-Ge-Dy     Cr6Ge6Dy                0.0128    0.9997     481.5     481.37
52     Cr-Ge-Tm     Cr6Ge6Tm                0.0026    1.0000     462.2     462.23
53     Co-Ge-Lu     Co6Ge6Lu                0.0078    0.9999     302.7     302.63
54     Co-Ge-Ho     Co6Ge6Ho                0.0152    0.9995     254.1     253.96
55     Nb-Sn-Tm     Nb6Sn6Tm                0.0244    0.9957       0.6       0.63
