iteration,n_unique_compounds,best_reward,best_e_form,best_e_form_e_hull,best_e_form_formula,best_e_hull,best_e_hull_e_form,best_e_hull_formula,best_rdos,best_rdos_eform,best_rdos_ehull,best_rdos_formula
0,1,-10.0,0.0523223472123543,10.0,Cr6Sn6Yb,10.0,0.0523223472123543,Cr6Sn6Yb,1522.1251138126117,0.0523223472123543,10.0,Cr6Sn6Yb
1,2,1.3952401231157552,0.0523223472123543,10.0,Cr6Sn6Yb,10.0,0.0523223472123543,Cr6Sn6Yb,1555.7961921498063,0.2200505961728188,10.0,Pb6V6Yb
2,3,1.658187015728756,0.0523223472123543,10.0,Cr6Sn6Yb,0.3159262986811943,0.2363286183748993,Pb6TmV6,1555.7961921498063,0.2200505961728188,10.0,Pb6V6Yb
3,4,1.658187015728756,0.0523223472123543,10.0,Cr6Sn6Yb,0.3159262986811943,0.2363286183748993,Pb6TmV6,1555.7961921498063,0.2200505961728188,10.0,Pb6V6Yb
4,5,1.658187015728756,-0.1181476089769109,-0.0008782602821617,Mn6Sn6Tm,-0.0008782602821617,-0.1181476089769109,Mn6Sn6Tm,1555.7961921498063,0.2200505961728188,10.0,Pb6V6Yb
5,6,1.954698212479356,-0.1765886710752413,10.0,Sn6V6Yb,-0.0008782602821617,-0.1181476089769109,Mn6Sn6Tm,1555.7961921498063,0.2200505961728188,10.0,Pb6V6Yb
6,7,1.954698212479356,-0.1765886710752413,10.0,Sn6V6Yb,-0.0008782602821617,-0.1181476089769109,Mn6Sn6Tm,1555.7961921498063,0.2200505961728188,10.0,Pb6V6Yb
7,8,1.954698212479356,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,1555.7961921498063,0.2200505961728188,10.0,Pb6V6Yb
8,9,1.954698212479356,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,1555.7961921498063,0.2200505961728188,10.0,Pb6V6Yb
9,10,1.954698212479356,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,1555.7961921498063,0.2200505961728188,10.0,Pb6V6Yb
10,11,1.954698212479356,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,1555.7961921498063,0.2200505961728188,10.0,Pb6V6Yb
11,12,1.954698212479356,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,1555.7961921498063,0.2200505961728188,10.0,Pb6V6Yb
12,13,1.954698212479356,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,1555.7961921498063,0.2200505961728188,10.0,Pb6V6Yb
13,14,1.954698212479356,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,1555.7961921498063,0.2200505961728188,10.0,Pb6V6Yb
14,15,1.954698212479356,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,1577.6086550044297,-0.3070871745150032,-0.0003751616736997,Ge6LuMn6
15,16,1.954698212479356,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,1577.6086550044297,-0.3070871745150032,-0.0003751616736997,Ge6LuMn6
16,17,1.954698212479356,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,1577.6086550044297,-0.3070871745150032,-0.0003751616736997,Ge6LuMn6
17,18,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.034673981941763,-0.4202517486425563,Ge6LuV6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
18,19,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
19,20,2.5803680748461497,-0.4202517486425563,-0.034673981941763,Ge6LuV6,-0.035005219610191,-0.190002557037055,LuSn6V6,2859.0122073100515,0.291397520165627,0.3254524976612176,LuMn6Pb6
